name,dateOfBirth,phoneNumber,gender,state,postcode,address,position,fullAddress,random5num,staffID
Lulu Hysom,2/26/1968,019-1152977,M,Johor,75633,91515 Shelley Alley,nurse,"91515 Shelley Alley, 75633, Johor",70238,N70238
Clint Riggey,5/2/1990,010-23417863,M,Labuan,09430,9910 Mitchell Avenue,nurse,"9910 Mitchell Avenue, 09430, Labuan",11151,N11151
Poppy MacDougall,11/12/1938,019-9912721,M,Penang,87918,92314 Cherokee Point,nurse,"92314 Cherokee Point, 87918, Penang",36578,N36578
Dalila Placide,4/6/1939,010-05097394,M,Kedah,62765,011 Cordelia Hill,nurse,"011 Cordelia Hill, 62765, Kedah",72439,N72439
Nonie Juanico,8/6/1976,010-09462554,M,Perlis,21642,10 Jenifer Court,nurse,"10 Jenifer Court, 21642, Perlis",32045,N32045
Avrit Giabuzzi,12/14/1968,011-10057679,M,Sabah,46582,63147 Beilfuss Circle,nurse,"63147 Beilfuss Circle, 46582, Sabah",26735,N26735
Lulita Kellar,1/13/1926,018-4033243,F,Perak,32976,9 4th Place,nurse,"9 4th Place, 32976, Perak",19877,N19877
Kalina Hasley,7/15/1927,010-35241846,M,Kedah,78996,28718 Schurz Avenue,nurse,"28718 Schurz Avenue, 78996, Kedah",67252,N67252
Brendis Figgures,12/19/1931,018-2179848,F,Negeri Sembilan,97300,38 Rusk Junction,nurse,"38 Rusk Junction, 97300, Negeri Sembilan",65202,N65202
Stanley Hynd,2/3/1994,010-69616155,M,Kuala Lumpur,96591,1 Melrose Pass,doctor,"1 Melrose Pass, 96591, Kuala Lumpur",32016,D32016
Margo Slessor,10/17/1950,010-76565794,M,Labuan,08880,111 Ronald Regan Alley,nurse,"111 Ronald Regan Alley, 08880, Labuan",99112,N99112
Juliet Lyvon,8/12/1983,011-06726208,M,Penang,24727,6199 Northview Lane,nurse,"6199 Northview Lane, 24727, Penang",97944,N97944
Kinny Lashmore,2/9/1995,019-3107313,F,Sarawak,89396,3956 Golf Center,nurse,"3956 Golf Center, 89396, Sarawak",43009,N43009
Addy Nason,10/15/1963,011-54156220,F,Selangor,99971,1570 John Wall Road,nurse,"1570 John Wall Road, 99971, Selangor",18654,N18654
Demetre Raiston,9/15/1988,019-7425898,F,Johor,62126,1 Lien Center,nurse,"1 Lien Center, 62126, Johor",01303,N01303
Penelopa Sandwich,6/15/1970,010-21557920,M,Sabah,79615,664 Brickson Park Drive,nurse,"664 Brickson Park Drive, 79615, Sabah",26545,N26545
Colver Lissemore,9/2/1975,018-9667183,M,Kedah,23661,1 Northland Alley,doctor,"1 Northland Alley, 23661, Kedah",80685,D80685
Susana Grabham,7/7/1931,011-27001105,M,Pahang,94333,81119 Calypso Circle,doctor,"81119 Calypso Circle, 94333, Pahang",28411,D28411
Dianna Calderon,5/15/1948,018-8476220,M,Negeri Sembilan,26232,11 Portage Lane,nurse,"11 Portage Lane, 26232, Negeri Sembilan",91426,N91426
Garrett Blackadder,12/19/1994,011-00754985,M,Sabah,67849,653 Manitowish Alley,nurse,"653 Manitowish Alley, 67849, Sabah",96514,N96514
Zacherie Crease,6/9/1953,018-0917284,M,Sarawak,84872,6 Boyd Court,nurse,"6 Boyd Court, 84872, Sarawak",75906,N75906
Alvie Krollman,5/5/1938,010-99928985,F,Perak,23402,86245 Farwell Point,nurse,"86245 Farwell Point, 23402, Perak",83617,N83617
Lenette Sugar,12/21/1901,011-75267450,F,Perak,08233,2 Express Road,doctor,"2 Express Road, 08233, Perak",90890,D90890
