staffID,name,dateOfBirth,phoneNumber,gender,address,position
N15869,Svend Ettery,23/12/1943,011-42724634,M,"42 Holy Cross Park, 44653, Labuan",nurse
N91251,Paxon Wharin,24/5/1978,010-7574186,M,"2 Sachtjen Park, 61057, Kelantan",nurse
N72176,Vanny Perkins,10/10/1929,019-8629864,M,"22430 Merchant Way, 26883, Perlis",nurse
N43094,Homer Vowells,22/5/1990,016-2216404,F,"9696 Dryden Plaza, 19310, Kelantan",nurse
N31948,Isaak Shireff,17/5/1933,019-2790383,M,"924 North Drive, 72604, Melaka",nurse
N74162,Minnaminnie Netherwood,9/1/1969,010-0297085,F,"84 Hollow Ridge Alley, 86431, Melaka",nurse
N76250,Theressa Drewson,22/11/1930,011-1951309,M,"6745 Butternut Trail, 47328, Sarawak",nurse
N02381,Seka Friedank,15/5/1950,011-88138140,F,"708 American Ash Lane, 21677, Putrajaya",nurse
N47434,Alene Nayer,21/4/1964,014-4568157,F,"09 Carioca Avenue, 29014, Negeri Sembilan",nurse
D44377,Tasia Gieraths,2/7/1912,019-3246012,M,"0 Kipling Hill, 01470, Johor",doctor
N86009,Elva Pie,23/5/1930,010-8720640,M,"042 Karstens Avenue, 62651, Pahang",nurse
N03453,Des Magrane,4/2/1922,019-4472904,M,"6108 Boyd Terrace, 43504, Putrajaya",nurse
N44321,Addy Sparry,9/4/1947,018-8402039,F,"11 Loeprich Trail, 44751, Sabah",nurse
N08677,Ferris Grunnill,3/5/1978,011-95040824,F,"70232 Kings Way, 67159, Labuan",nurse
N26240,Rey Hindrick,8/9/1918,019-7626854,M,"24 Schiller Pass, 81668, Negeri Sembilan",nurse
N60297,Wainwright Bavin,23/7/1961,011-16582925,F,"486 Little Fleur Lane, 65061, Kuala Lumpur",nurse
N05852,Bibbie Torbett,20/10/1910,011-41171578,M,"41 Continental Alley, 16429, Pahang",nurse
N67065,Florry Simione,17/11/1908,011-42677039,F,"9 Rutledge Avenue, 25332, Perlis",nurse
N51901,Tyrone Sandford,17/2/1908,019-4880777,M,"8 Evergreen Trail, 76978, Kelantan",nurse
D47320,Joana Quinney,31/8/1921,018-6701655,F,"91 Everett Junction, 63134, Kuala Lumpur",doctor
N76915,Antons Parades,14/4/1969,019-0567972,M,"201 Pierstorff Avenue, 70325, Perak",nurse
N89191,Tine Klug,15/8/1998,019-5306579,M,"0 Kingsford Trail, 34733, Perak",nurse
